id,title,url,score,extraction_date
47407184,Show HN: An open-source safety net for home hemodialysis,https://safehemo.com/,41,2026-03-21 02:10:12
47409055,Flash-KMeans: Fast and Memory-Efficient Exact K-Means,https://arxiv.org/abs/2603.09229,170,2026-03-21 02:10:12
47450478,ArXiv declares independence from Cornell,https://www.science.org/content/article/arxiv-pioneering-preprint-server-declares-independence-cornell,719,2026-03-21 02:10:12
47461018,Discontinuation and reinitiation of dual-labeled GLP-1 receptor agonists,https://nautil.us/whiplash-heart-attack-and-stroke-risk-jumps-when-people-stop-taking-glp-1s-1279029,55,2026-03-21 02:10:12
47407293,Video Encoding and Decoding with Vulkan Compute Shaders in FFmpeg,https://www.khronos.org/blog/video-encoding-and-decoding-with-vulkan-compute-shaders-in-ffmpeg,151,2026-03-21 02:10:11
47424592,Parallel Perl – Autoparallelizing interpreter with JIT,https://perl.petamem.com/gpw2026/perl-mit-ai-gpw2026.html#/4/1/1,99,2026-03-21 02:10:11
47436287,Heisuke Hironaka Has Died,https://japannews.yomiuri.co.jp/society/general-news/20260319-317449/,6,2026-03-21 02:10:11
47452955,Entso-E final report on Iberian 2025 blackout,https://www.entsoe.eu/publications/blackout/28-april-2025-iberian-blackout/,175,2026-03-21 02:10:11
47453947,The Social Smolnet,https://ploum.net/2026-03-20-social-smolnet.html,110,2026-03-21 02:10:11
47456421,Meme Buildings,https://misfitsarchitecture.com/2026/03/15/meme-buildings/,21,2026-03-21 02:10:11
47459447,NumKong: 2'000 Mixed Precision Kernels for All,https://ashvardanian.com/posts/numkong/,29,2026-03-21 02:10:11
47410871,VisiCalc Reconstructed,https://zserge.com/posts/visicalc/,166,2026-03-21 02:10:10
47423762,The worst volume control UI in the world (2017),https://uxdesign.cc/the-worst-volume-control-ui-in-the-world-60713dc86950,67,2026-03-21 02:10:10
47431304,Work_mem: It's a Trap,https://mydbanotebook.org/posts/work_mem-its-a-trap/,32,2026-03-21 02:10:10
47444319,Delve – Fake Compliance as a Service,https://deepdelver.substack.com/p/delve-fake-compliance-as-a-service,551,2026-03-21 02:10:10
47458348,Show HN: I made an email app inspired by Arc browser,https://demo.define.app,46,2026-03-21 02:10:10
47460528,"Show HN: Baltic shadow fleet tracker – live AIS, cable proximity alerts",https://github.com/FormerLab/shadow-fleet-tracker-light,30,2026-03-21 02:10:10
47461529,"Show HN: Red Grid Link – peer-to-peer team tracking over Bluetooth, no servers",https://github.com/RedGridTactical/RedGridLink,20,2026-03-21 02:10:10
47416543,The Los Angeles Aqueduct Is Wild,https://practical.engineering/blog/2026/3/17/the-los-angeles-aqueduct-is-wild,295,2026-03-21 02:10:09
47425257,Lent and Lisp,https://leancrew.com/all-this/2026/02/lent-and-lisp/,27,2026-03-21 02:10:09
47438169,An FAQ on Reinforcement Learning Environments,https://epoch.ai/gradient-updates/state-of-rl-envs,21,2026-03-21 02:10:09
47458595,Attention Residuals,https://github.com/MoonshotAI/Attention-Residuals,127,2026-03-21 02:10:09
47460452,A Japanese glossary of chopsticks faux pas,https://www.nippon.com/en/japan-data/h01362/,114,2026-03-21 02:10:09
47461321,Show HN: We built a terminal-only Bluesky / AT Proto client written in Fortran,https://github.com/FormerLab/fortransky,43,2026-03-21 02:10:09
47461378,Ghostling,https://github.com/ghostty-org/ghostling,92,2026-03-21 02:10:09
47453942,France's aircraft carrier located in real time by Le Monde through fitness app,https://www.lemonde.fr/en/international/article/2026/03/20/stravaleaks-france-s-aircraft-carrier-located-in-real-time-by-le-monde-through-fitness-app_6751640_4.html,472,2026-03-21 02:10:08
47459296,Our commitment to Windows quality,https://blogs.windows.com/windows-insider/2026/03/20/our-commitment-to-windows-quality/,407,2026-03-21 02:10:08
47460525,OpenCode – Open source AI coding agent,https://opencode.ai/,443,2026-03-21 02:10:08
47461094,We rewrote our Rust WASM Parser in TypeScript – and it got 3x Faster,https://www.openui.com/blog/rust-wasm-parser,106,2026-03-21 02:10:08
47462483,Linux Applications Programming by Example: The Fundamental APIs (2nd Edition),https://github.com/arnoldrobbins/LinuxByExample-2e,30,2026-03-21 02:10:08
47402687,My Random Forest Was Mostly Learning Time-to-Expiry Noise,https://illya.sh/threads/out-of-sample-permutation-feature-importance-for-random,18,2026-03-20 02:23:12
47439320,OpenBSD: PF queues break the 4 Gbps barrier,https://undeadly.org/cgi?action=article;sid=20260319125859,178,2026-03-20 02:23:12
47442435,Scaling Karpathy's Autoresearch: What Happens When the Agent Gets a GPU Cluster,https://blog.skypilot.co/scaling-autoresearch/,127,2026-03-20 02:23:12
47442834,An update on Steam / GOG changes for OpenTTD,https://www.openttd.org/news/2026/03/19/steam-changes-update,276,2026-03-20 02:23:12
47392457,Cover Flow with Modern CSS: Scroll-Driven Animations in Action (2025),https://addyosmani.com/blog/coverflow/,4,2026-03-20 02:23:11
47437655,“Your frustration is the product”,https://daringfireball.net/2026/03/your_frustration_is_the_product,439,2026-03-20 02:23:11
47438675,Juggalo makeup blocks facial recognition technology (2019),https://consequence.net/2019/07/juggalo-makeup-facial-recognition/,237,2026-03-20 02:23:11
47444072,NanoGPT Slowrun: 10x Data Efficiency with Infinite Compute,https://qlabs.sh/10x,101,2026-03-20 02:23:11
47444460,From Oscilloscope to Wireshark: A UDP Story (2022),https://www.mattkeeter.com/blog/2022-08-11-udp/,78,2026-03-20 02:23:11
47444906,Clockwise acquired by Salesforce and shutting down next week,https://www.getclockwise.com,80,2026-03-20 02:23:11
47445246,Waymo Safety Impact,https://waymo.com/safety/impact/,230,2026-03-20 02:23:11
47446021,EsoLang-Bench: Evaluating Genuine Reasoning in LLMs via Esoteric Languages,https://esolang-bench.vercel.app/,62,2026-03-20 02:23:11
47446373,Be intentional about how AI changes your codebase,https://aicode.swerdlow.dev,69,2026-03-20 02:23:11
47406160,Return of the Obra Dinn: spherical mapped dithering for a 1bpp first-person game,https://forums.tigsource.com/index.php?topic=40832.msg1363742#msg1363742,244,2026-03-20 02:23:10
47416972,How the Turner twins are mythbusting modern technical apparel,https://www.carryology.com/insights/how-the-turner-twins-are-mythbusting-modern-gear/,120,2026-03-20 02:23:10
